headline,date,comments,type
Axcelis Technologies director sells over $137k in company stock,2024-05-21 11:12:20.513778,pure advertising,ACLS
Axcelis Announces Participation in Upcoming Investor Conferences,2024-05-07 00:00:00.000000,,ACLS
Axcelis shares upgraded on positive future outlook,2024-05-03 00:00:00.000000,,ACLS
Earnings call: Axcelis Technologies Q1 2024 results show strong financials,2024-05-02 00:00:00.000000,,ACLS
Axcelis Announces Financial Results for First Quarter 2024,2024-05-01 00:00:00.000000,,ACLS
"Axcelis earnings beat by $0.33, revenue topped estimates",2024-05-01 00:00:00.000000,,ACLS
Tech sector: Which stocks will dominate the market in May? - Expert price targets,2024-04-26 00:00:00.000000,pure advertising,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2024-05-03 00:00:00.000000,🤣👎 | what is to do with CZR? in Value it is to buy and in midcap you list it to sell.,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2024-05-03 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2024-05-03 00:00:00.000000,,ACLS
Tech sector: Which stocks will dominate the market in May? - Expert price targets,2024-04-26 00:00:00.000000,,ACLS
AXCELIS WINS THE TEXAS INSTRUMENTS 2023 SUPPLIER EXCELLENCE AWARD,2024-04-23 00:00:00.000000,,ACLS
Axcelis Announces Multiple Shipments of Purion Power Series Implanters to Leading Silicon Carbide Chipmakers Worldwide,2024-04-17 00:00:00.000000,,ACLS
Axcelis Announces Timing and Availability of First Quarter 2024 Results and Conference Call,2024-04-11 00:00:00.000000,,ACLS
"""Tech Titans"" ProPicks strategy outperforms in March 2024",2024-04-03 00:00:00.000000,,ACLS
Axcelis Announces Shipment of 'Purion EXE SiC Power Series' Implanter and Successful 'Purion H200 SiC Power Series' Eval Closure at Leading Power Device Manufacturers in Japan,2024-04-02 00:00:00.000000,,ACLS
Axcelis Announces Multiple Shipments of 150mm 'Purion M SiC Power Series' Implanters to Leading Power Device Manufacturers in China,2024-03-20 00:00:00.000000,,ACLS
Axcelis Announces Participation in SEMICON China 2024,2024-03-14 00:00:00.000000,,ACLS
ProPicks rebalances in March: Here's what to buy and what to sell now,2024-03-04 00:00:00.000000,,ACLS
Axcelis enhances board with two new directors,2024-02-28 00:00:00.000000,,ACLS
Axcelis Technologies Appoints Gregory Graves and Necip Sayiner to its Board,2024-02-28 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2024-02-09 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2024-02-09 00:00:00.000000,,ACLS
Earnings call: Axcelis Technologies hits record revenue in 2023,2024-02-08 00:00:00.000000,,ACLS
"Axcelis earnings beat by $0.14, revenue topped estimates",2024-02-07 00:00:00.000000,,ACLS
"After-hours movers: Arm and Disney gain, PayPal falls",2024-02-07 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2024-01-16 00:00:00.000000,,ACLS
"ProPicks: January 2024 stock updates - What to buy, what to sell",2024-01-02 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-12-15 00:00:00.000000,,ACLS
Axcelis Technologies Announces Shipments of Purion XE High Energy and Purion H High Current Implanters to DRAM Memory Chipmakers,2023-12-07 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-11-03 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-11-03 00:00:00.000000,,ACLS
"Earnings call: Axcelis Technologies reports strong Q3 2023 results, bullish on silicon carbide market",2023-11-02 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-11-02 00:00:00.000000,,ACLS
"Axcelis earnings beat by $0.22, revenue topped estimates",2023-11-01 00:00:00.000000,,ACLS
Bank of America starts Axcelis at Buy; 'We expect ACLS to continue gaining implant share',2023-09-15 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-09-15 00:00:00.000000,,ACLS
Axcelis Technologies Announces Additional $200M Share Buyback,2023-09-12 00:00:00.000000,,ACLS
Axcelis Technologies Announces CFO Change,2023-09-05 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-08-04 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-08-04 00:00:00.000000,,ACLS
"Axcelis earnings beat by $0.36, revenue topped estimates",2023-08-02 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-07-17 00:00:00.000000,,ACLS
"'Semicaps overbought on AI hype,' argues Needham & Company",2023-06-14 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-06-14 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-06-05 00:00:00.000000,,ACLS
Axcelis Technologies receives Investment Bank Analyst Rating Update,2023-06-05 00:00:00.000000,,ACLS
Axcelis Tech receives Investment Bank Analyst Rating Update,2023-05-05 00:00:00.000000,,ACLS
"Axcelis earnings beat by $0.13, revenue topped estimates",2023-05-03 00:00:00.000000,,ACLS
Axcelis Technologies Announces CEO Succession,2023-03-27 00:00:00.000000,,ACLS
