headline,date,comments,type
"Entegris SVP Olivier Blachier sells $265,806 in stock",2024-05-17,"This is not concrete, nor does it have leadership value",ENTG
Entourage Health to Hold First Quarter 2024 Financial Results Call on May 28,2024-05-14,,ENTG
Entourage Health Introduces New Product Launches and Expands Market Reach of Leading Brand Dime Bag ®,2024-05-08,,ENTG
"Earnings call: Entegris Posts Strong Q1 Results, Exceeds Expectations",2024-05-01,,ENTG
Why Entegris (ENTG) Shares Are Falling Today,2024-05-01,,ENTG
No Surprises In Entegris's (NASDAQ:ENTG) Q1 Sales Numbers But Quarterly Guidance Underwhelms,2024-05-01,,ENTG
"Entegris stock dips following Q1 revenue miss, Q2 guidance below consensus",2024-05-01,"The last four years has really opened my eyes to the fact that we the United States are the bad guys. Not that we weren't before the last four years, but it really took massive tyranny for me to wake up. | These are the USA today, a beacon of Freedom, an example for the world of democracy, free trade and promotion of opportunities; fighting incessantly for the opening of markets with free movement of goods and people. Every day the opposite becomes more evident. It has become scary. Involved in all the wars in the world and creating destabilization more than peace. Vetoing in the UN and not belonging to international Justice Where is that USA, if you have to do what I say but not what I do! The world feels, we feel orphans | look at Apple and you know if without Chinese buying, the sales dropped dramatically.. soon Nvidia and other western chip makers will over supply without support of China.. when US can't compete, they will just starts destroying others.. | US and China should coordinate cooperative policy instead of the restrictions and political bullying. | Americans are sore losers, they can copy others, yet restrict others from copying. Real A...holes | What right US has to impose restrictions on this and that? What special authority it commands? To me any country is entitled for growth abs advance their economy. This one country is scared to lose its grip as the number one country abs that's why it is rallying its dogs to band together and attack its safe up adversaries. | here comes another huge equities imbalance.",ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,ENTG
Entegris Reports Results for First Quarter of 2024,2024-05-01,,ENTG
"Entegris earnings beat by $0.06, revenue fell short of estimates",2024-05-01,,ENTG
Entourage Health Reports Fiscal Year 2023 Financial Results and Posts $54 Million in Total Revenues,2024-04-30,,ENTG
Entegris (ENTG) Q1 Earnings: What To Expect,2024-04-30,,ENTG
Entourage Health to Report Fiscal Year 2023 Financial Results,2024-04-24,,ENTG
"Entegris to Report Results for First Quarter of 2024 on Wednesday, May 1, 2024",2024-04-17,,ENTG
Entegris Declares Quarterly Cash Dividend,2024-04-17,,ENTG
Entegris Declares $0.10 Quarterly Dividend; 0.3% Yield,2024-04-17,,ENTG
"US mulls blacklisting CXMT to curb China's chip advance, Bloomberg News says",2024-03-09,,ENTG
Entegris expands board with Chewy CFO David Reeder,2024-03-07,,ENTG
Entegris Appoints David Reeder to its Board,2024-03-07,,ENTG
Marvell Technology (MRVL) Q4 Earnings: What To Expect,2024-03-06,,ENTG
"Exclusive-US targets China's top chipmaking plant after Huawei Mate 60 Pro, sources say",2024-02-21,,ENTG
Mizuho cuts Entegris to Neutral post share price surge,2024-02-20,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-20,,ENTG
Earnings To Watch: Photronics (PLAB) Reports Q1 Results Tomorrow,2024-02-20,,ENTG
Citi raises Entegris stock target to $134 on semis cycle recovery,2024-02-15,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-15,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-15,,ENTG
"Entegris stock target raised to $150 from $90 on ""organic topline growth""",2024-02-15,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-15,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-15,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-15,,ENTG
Earnings call: Entegris outlines robust R&D and growth strategy,2024-02-14,,ENTG
Why Is Entegris (ENTG) Stock Soaring Today,2024-02-14,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-14,,ENTG
Applied Materials (AMAT) To Report Earnings Tomorrow: Here Is What To Expect,2024-02-14,,ENTG
Entegris's (NASDAQ:ENTG) Q4 Sales Top Estimates But Quarterly Guidance Underwhelms,2024-02-13,,ENTG
"Entegris earnings beat by $0.07, revenue topped estimates",2024-02-13,,ENTG
Entegris Earnings: What To Look For From ENTG,2024-02-12,,ENTG
Entegris Declares $0.10 Quarterly Dividend; 0.4% Yield,2024-01-17,,ENTG
Entegris to present Q4 2023 results in February webcast,2024-01-09,,ENTG
Entegris Inc. receives Investment Bank Analyst Rating Update,2024-02-15,,ENTG
