headline,date,comments,type
On Semiconductor director sells shares worth over $67k,2024-05-17,"wife holds a nice volume of Eli Lilly stock so good news on this one. | this is another giving appointment to help others achieve their goals on trading I have been skeptical about trading on till I met the man who accept to change my life, I recently got a awesome payout from my last investment with him so am here to say a big thank you to him anyway he is:: his wAsPP nus. +31612574318). 1010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010102020202020202020201010101010101010 | Cat is doing well due to the inflation reduction act spending - the US gov is blowing trillions of USD tax payers and borrowed money on pet projects to boost the ailing US economy - MacD shows what's really going on in the consumer economy - and FedEx and UPS are showing that's really going on in the US and global economy - entering a deep recession. Healthcare and construction and defense will be OK due to massive government stimulus, crowding out the private sector. US gov borrowing will keep US gov bond yields high - as they'll have to offer higher rates to get anyone to buy them as their debt becomes totally unsustainable - foreign investors, central banks and governments are all now net sellers of US government bonds as they buy gold instead. So rates higher for longer until an entire financial collapse and credit crunch - crushing the real economy - as opposed to the mafia government stealing and spending",ON
March chip sales above seasonality - Citi,2024-05-06,"Investing.com, can you please turn off the Michale Benson bot? Comments are active now and no longer need to be seeded. | The gig economy is changing the nature of work. | Environmental, social, and governance factors are gaining in importance. | It's a sign - they are running out of adjectives to describe market fluctuations.  &quot;Swashbuckling&quot;  Doesn't that give you confidence in the current crop of investment analysts and managers?  There's really no confidence in the media, but that has been the case for some years. | Biggest investment JOKE on earth.  To think millions of American's have their retirement hopes pinned to this criminally manipulated farce.  Charles Ponzi would cry tears of joy if he could only see the ultimate incarnation of his creation in action. | Every single stock buy in at low that’s a trap, will continue drop to unlimited, observe it | The market was higher, while oil and gold were lower, because weekend ended and the Middle East war is still contained. Wait for the next weekend. | Last attempt to lure FOMO b4 Apple negative earnings results........ | Tech stocks that took a nosedive last week are now big winners because Apple might have a good earnings report. Mr. Pioneer is right! lol | Swashbuckling? Lmao | ahoy mateys, how's the plunder these days? arrrrrrgh | complete nonsense, uptrend will revert at the 200 days moving average before heading even lower... | Where is all this market liquidity coming from These markets rise and fall on liquidity. Unfortunately, this critical “liquidity” isn't coming from economic growth, a robust Main Street or a fairly-priced market. Instead it now comes from out of thin air from the FED… These markets are an empty plastic charade | Swashbuckling farce. Bag holders needed",ON
Microchip Technology (MCHP) Q1 Earnings: What To Expect,2024-05-05,Stellantis... the most undervalued carmaker. Evenings next will will surprise on the upside. Buy below 17 for a ride to 21,ON
ON Semiconductor target cut on EV sentiment,2024-04-30,,ON
Mizuho cuts ON Semiconductor stock price target on softer outlook,2024-04-30,,ON
ON Semiconductor stock PT lowered by KeyBanc amid market correction outlook,2024-04-30,seems like investment Pro cannot get it right Tesla went up today did pretty good. I'm not paying for bad advice so get with it | This company real value is 35 | People hired to create only damage and falsehood....,ON
Goldman Sachs raises ON Semiconductor stock target,2024-04-30,"Again analysts miscalculated growth in their estimates but the company did better than analysts expected in the last quarter. So by who's guidance should we place our investments? By some analysts misguided crystal balls or solid performance from a worthwhile endeavor? Or,is it a quick buck to pad the analysts games?",ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-05-13,,ON
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-05-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,"I still like semiconductor sector, despite the risk of China invading Taiwan, which I think will wait until China navy is even stronger.",ON
ON Semiconductor stock PT lowered by KeyBanc amid market correction outlook,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
Goldman Sachs raises ON Semiconductor stock target,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
ON Semiconductor shares target cut by JPMorgam on market weakness,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-30,,ON
Earnings call: Onsemi shows steady growth amid market softness,2024-04-29,,ON
No Surprises In ON Semiconductor's (NASDAQ:ON) Q1 Sales Numbers But Quarterly Guidance Underwhelms,2024-04-29,,ON
onsemi tops Q1 expectations but guidance falls short,2024-04-29,,ON
"ON Semiconductor earnings beat by $0.04, revenue topped estimates",2024-04-29,,ON
"Midday movers: Tesla, Apple, Domino's Pizza rise; Alphabet falls",2024-04-29,,ON
ON Semiconductor (ON) Reports Earnings Tomorrow: What To Expect,2024-04-28,,ON
ON Semiconductor stock target cut $15 by Wells Fargo,2024-04-23,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-23,,ON
Citi picks one chip stock to sell off and one to trade higher after earnings,2024-04-22,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-19,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-18,,ON
Evercore ISI initiates ON Semiconductor stock with Outperform rating,2024-04-16,,ON
"Goldman Sachs cuts ON Semiconductor stock target by 11%, keeps Buy rating",2024-04-16,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-16,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-04-15,,ON
onsemi to Announce First Quarter Financial Results,2024-04-11,,ON
ON Semiconductor warns against unsolicited mini-tender offer,2024-04-02,,ON
onsemi Recommends Stockholders Reject Below-Market Mini-Tender Offer by TRC Capital Investment Corporation,2024-04-02,,ON
Vertical Health Completes $4.54M Securities Purchase Agreement,2024-04-02,,ON
"Mizuho reaffirms 'Buy' for ON Semiconductor stock, cites growth strategy",2024-03-19,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-03-19,,ON
"5 big analyst AI moves: AI market is not a bubble yet, says Goldman",2024-03-17,,ON
onsemi forms group to target $19.3 billion market,2024-03-12,,ON
onsemi Aligns Business Groups,2024-03-12,,ON
STMicroelectronics CEO says China is a growth market despite US chip war,2024-03-12,,ON
Automotive semiconductors outlook 2024 as per UBS,2024-02-26,,ON
Universal Display (OLED) To Report Earnings Tomorrow: Here Is What To Expect,2024-02-21,,ON
Analog Devices (ADI) Reports Earnings Tomorrow. What To Expect,2024-02-20,,ON
"ONSEMI DEADLINE ALERT: Bragar Eagel & Squire, P.C. Reminds Investors that a Class Action Lawsuit Has Been Filed Against ON Semiconductor Corporation and Encourages Investors to Contact the Firm",2024-02-09,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-02-06,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-02-06,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-02-06,,ON
Earnings call: ON Semiconductor reports growth and strategic focus in Q4,2024-02-05,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-02-05,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-02-05,,ON
Why Are ON Semiconductor (ON) Shares Soaring Today,2024-02-05,,ON
ON Semiconductor (NASDAQ:ON) Reports Q4 In Line With Expectations But Quarterly Guidance Underwhelms,2024-02-05,,ON
"Onsemi rises on better-than-feared results, guidance",2024-02-05,,ON
"ON Semiconductor earnings beat by $0.05, revenue topped estimates",2024-02-05,,ON
"Midday movers: Estee Lauder, Eli Lilly and more",2024-02-05,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-01-26,,ON
January supply chain checks favor these chip stocks,2024-01-25,,ON
"After-hours movers: Netflix surges, Texas Instruments falls, and more",2024-01-23,,ON
onsemi lower following Mobileye's warning,2024-01-04,,ON
"Piper Sandler adjusts semiconductor ratings, upgrades Micron Technology, cuts Apple",2024-01-04,,ON
US chip stocks tumble after strongest year since 2009,2024-01-03,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2024-01-02,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-12-18,,ON
ProPicks: Beat the S&P 500 with our cutting-edge AI-powered stock selection,2023-12-04,,ON
"Roth MKM starts Marvell Technology, AMD and Onsemi at Buy",2023-11-14,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-11-13,,ON
3 names to beware of as this once hot industry enters 'structural oversupply',2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
Truist cuts estimates on ON Semiconductor following weak 4Q guidance,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semi clobbered with downgrades; Lyft 'likely' to disappoint: 6 big analyst cuts,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-31,,ON
Fisker shares drop amid EV market concerns and production cuts,2023-10-31,,ON
Earnings Call: On Semiconductor Q3 2023 Results and Strategic Focus on Silicon Carbide,2023-10-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-30,,ON
Onsemi to cut 900 jobs as slowing EV demand hints at sluggish 4Q,2023-10-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-30,,ON
"Onsemi cuts jobs, sees weak 4th quarter on slowing EV demand",2023-10-30,,ON
ON Semiconductor's Q3 profit surpasses expectations amid industry softening,2023-10-30,,ON
Why ON Semiconductor (ON) Stock Is Down Today,2023-10-30,,ON
Onsemi falls 7% on weak guidance,2023-10-30,,ON
ON Semiconductor (NASDAQ:ON) Surprises With Q3 Sales But Quarterly Guidance Underwhelms,2023-10-30,,ON
Stock Market Today: Dow racks up swashbuckling gains as big tech shows strength,2023-10-30,,ON
"ON Semiconductor earnings beat by $0.05, revenue topped estimates",2023-10-30,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-24,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-24,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-23,,ON
Semiconductor Sector Faces Mixed Q2 Results and Revenue Guidance,2023-10-20,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-11,,ON
House Republicans urge tighter export controls on advanced chips,2023-10-09,,ON
House Republicans urge tighter export controls on advanced chips,2023-10-08,,ON
House Republicans urge tighter export controls on advanced chips,2023-10-07,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-10-04,,ON
"Citi sees risk to consensus estimates for AMD, Intel, and these 3 other chip stocks",2023-08-28,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-08-01,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-31,,ON
ON Semi rises as Q2 results and guidance beat expectations,2023-07-31,,ON
"ON Semiconductor earnings beat by $0.12, revenue topped estimates",2023-07-31,,ON
On Semiconductor forecasts robust Q3 revenue on silicon carbide strength,2023-07-31,,ON
U.S. stocks are rising as another week of megacap earnings kicks off,2023-07-31,,ON
Stock Market Today: Dow rallies to notch third-weekly win as tech reigns supreme,2023-07-28,,ON
onsemi Wins $1.95B in Supply Agreements with Leading Solar Inverter Manufacturers,2023-07-26,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-25,,ON
Rosenblatt downgrades onsemi due to slowing automotive demand,2023-07-24,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-24,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-24,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-24,,ON
4 big analyst cuts: Tesla trimmed yet again for rich valuation,2023-07-24,,ON
ON Semiconduc receives Investment Bank Analyst Rating Update,2023-07-24,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-20,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-20,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-19,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-19,,ON
3 stocks with a favorable risk/reward into earnings - KeyBanc,2023-07-18,,ON
Stellantis secures $11.2B in semiconductor chip contracts,2023-07-18,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-18,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-07-11,,ON
Best-performing stocks on BofA's top stocks list in Q2,2023-07-06,,ON
Enovix Announces Appointment of Joseph Malchow and Bernard Gutmann to Its Board of Directors,2023-06-26,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-06-20,,ON
Rivian Automotive Dropped from Nasdaq-100 Index,2023-06-12,,ON
onsemi Selected by Nasdaq for 100 Index,2023-06-12,,ON
onsemi to Join the Nasdaq-100 Index,2023-06-12,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-06-09,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-06-09,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-06-08,,ON
ON Semiconductor analyst day impresses Wall Street,2023-05-17,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-05-17,,ON
"ON Semiconductor , Penn State Sign MOU to Boost Silicon Carbide Research in the United States",2023-05-16,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-05-11,,ON
ON Semiconductor receives Investment Bank Analyst Rating Update,2023-05-02,,ON
"ON Semiconductor stock gains as earnings, guidance top market views",2023-05-01,,ON
