headline,date,comments,type
Microsoft debuts 'Copilot+' PCs with AI features,2024-05-21 15:28:38.659478,Wonder if Sanjay saw this coming since he predicted a rosy growth in 2025,QCOM
"Dell deepens AI push with new PCs, Nvidia-powered servers",2024-05-21 15:29:37.565835,"Test drive a Tesla, its fun and free. | I cannot be sure, but this looks like buying high and selling low!!! | the cause of the 1997 Asian financial crisis",QCOM
Departing Boeing CEO's board status faces Friday vote by shareholders,2024-05-17 00:00:00.000000,Rigged,QCOM
Qualcomm CEO Cristiano Amon sells $1.54 million in company stock,2024-05-16 00:00:00.000000,"The field of intelligent driving is booming, there will be more promotions to encourage consumers to buy cars.  Of course, this cannot be done without the key energy supply - charging.  As the leading charging company in China, NASDAQ-listed charging unicorn, NASS (NASDAQ:NAAS) will benefit from the wave of NEV development.",QCOM
"Qualcomm director Sylvia Acevedo sells shares worth over $135,000",2024-05-13 00:00:00.000000,"Soros loves his Tesla. | I would bet that this has less to do with Financials of the corporations, and more to do with the political leanings of the CEO's!",QCOM
Pro Research: Wall Street eyes Qualcomm's future beyond exclusivity,2024-05-12 00:00:00.000000,Go Zuck!!,QCOM
Qualcomm CFO sells over $540k in company stock,2024-05-10 00:00:00.000000,"The taxes much be higher on the richest the tax is nearly tha same as in 1960 it’s the richest tha much pay more in tax the big firms much pay more Biden is right about that the laborers suffer every time | Markets will vault higher on debt ceiling talks despite the hyperinflation. | &quot;Too Big to Fail&quot; watch a movie someone is cheating on you | Congratulations to the UK 👑👑 | The FED is mainly concerned about all those countries that hold $USD not the US economy or its people. If US interest rates drop say goodbye to the dollar. IMO Interest rates will be hiked again in June and this will require fudged job reports and goldilocks inflation numbers | us is playing druma on inflation.playing game with middle class and poor people. | Don't be shocked if the Trumplicans actually drive the bus into the ditch. My bet is that Biden directs Treasury to ignore the Debt Limit and forces the Rs to take him to court. Strap in. It's going to be a wild ride. | Bond yields rising today. Probably anticipating higher than expected inflation numbers. | The Debt ceiling drama will save the day for stocks. They purposefully cast doubt on whether the ceiling will be raised...then when it is, the euphoria sets in and stocks soar 1000 points. Same old nonsense! | raising rates as - up and quick - with the vast amount of global debt wil of course createa  very large recession - and the first major signs of that are now coming through - the market should wake up to the reaility of the situation in the next few weeks - exports from  china and india and South Korea have dropped off a cliff - german manufacturing figures have just dropped off a cliff - dry baltic index dropped off a cliff - global trade is screeching to a halt - these are all good forward looking indicators used by professionals - not the rubbish the US gov or Chinese gov feeds us. | people are not buying us companies product in India | devil Biden have done this | business in world is in worst position.people will wear gold in this position. | Brookings Institute says US default will cost US $750 billion in increased future debt costs. Considering the multi-trillions of woke spending, could that cost be worth a fundamental directional change for future generations? | gold ts consolidating around 2025 it is ready for next upside... | let's Immaging a default scenario, what move could brings you earnungs? SQQQ? or golden barrick stocks purchasing?Please share your opinion. | apple, Amazon, walll mart going to perform worst. still banking crises not over in us. more rate hike and economy slow down coming. apart from it big is us govt default | How do you know the cpi is likely to climb .4%? If thats the estimate for m/m which is only one part of 4 readings since you clearly have an agenda just look at the track record of what is expected | After fed is done with the rate hike stuff. Then only the true picture will out regarding the health of all the major companies. | It could still be managed if the managers actually cared, but it's all about them and their unique skills in the trade. Where are they when the problems they cause start to mount up. Because I shouldn't have to keep fixing a business they want to keep me excluded from. You should just pay someone else that can fix it. | absolutely apple, Amazon and paypal not going to perform well",QCOM
Pro Research: Wall Street dives into ARM Holdings' market potential,2024-05-14 00:00:00.000000,"Nvidia, can it hit $600 by Dec2025 | 6 months ago there were chip demand warnings and now?? ridiculous news | If inflation is draining demand for computers, where are all these chips going to be installed? Remember all the technology hopes and dreams in the early 2000s that were crushed and held back for years? | 300b added in 1 week 26b revenue, net profit 3B, what a mess. | Hopium levels are over 9000 | $1T. $26B in revenue. The bubble is real. | Nvidia is going to offload a whole bunch of stock today. So keep on buying retailers. | Yup .. nothing is impossible with latest Nvidia Messiah AI ....no more global conflicts, wars, hunger, pandemic and crisis with AI ...just buy Nvidia stocks and the world will end up as Heaven",QCOM
Pro Research: Wall Street dives into Intel's Market Dynamics,2024-05-13 00:00:00.000000,"NVIDIA has partnered with MediaTech to enter the car-making sector and provide AI-assisted technology. Well, this is a big move for the auto industry, which will help to boost the sales and popularity of new energy vehicles, while the demand for charging will grow rapidly immediately afterwards. Focus on NASS, (NASDAQ:NAAS), a unicorn charging industry in China.",QCOM
Qualcomm : We did not expect to receive product revenues from Huawei beyond the current calendar year,2024-05-09 00:00:00.000000,Long QCOM!,QCOM
