headline,date,comments,type
"Earnings call: UMC posts solid Q1 results, gears up for AI market growth",2024-04-24,,UMC
UMC's 'better-than-expected' Q1 results prompt Citi to upgrade stock to buy,2024-04-24,"No wonder giving the bad utilation rates at Intels fabs on mature/older nodes. Even if they had to sell their capacities under value, its still better than having them on just 50% utilization rates. But still the question emerges: What is their anwer on heavy build-up over-capacities especially in asia (cheap, much more price competitive) but also worldwide in general. IFS's dilemma: Thus competing on mature nodes is a fight you cant really win and on potentially lucrative leading-edge nodes, they are far away  from being able to supply themselves. How are they supposed to supply any serious quantities to external customers. Thus IFS cant really be a margin maker. The best IFS can do, is trying to at least raise utlization rates to lower operating margin losses. However they still need other succesfull branches to raise GM at least. Trading own fabbed products versus producing products for external customers, would cause a huge margin bleed (60%~ &gt; 5-15%).",UMC
"United Microelectronics reports in-line first quarter, wafer shipments increased 4.5%",2024-04-24,Anyone suckered into buying nvda or amd are just plain dumb and not thinking clearly... analyst claiming that it may not effect these stocks are just plain LYING to try and save the outfall from all this 7.2 is worse than any earth quake in the last 50 yrs in Taiwan.,UMC
"United Microelectronics earnings matched, revenue topped estimates",2024-04-24,,UMC
"UMC stock price target cut, maintains hold rating on financial estimates",2024-04-23,,UMC
"Taiwan quake to hit some chip output, disrupt supply chain, analysts say",2024-04-03,,UMC
"Earnings call: UMC reports Q4 results, projects cautious 2024 outlook",2024-01-31,and along came.microsoft,UMC
United Micro receives Investment Bank Analyst Rating Update,2024-04-25,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2024-04-25,,UMC
United Micro receives Investment Bank Analyst Rating Update,2024-04-25,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2024-04-09,,UMC
United Micro receives Investment Bank Analyst Rating Update,2024-04-09,,UMC
"Taiwan quake to hit some chip output, disrupt supply chain, analysts say",2024-04-03,,UMC
United Microelectronics Reports February 2024 Sales,2024-03-06,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2024-02-19,,UMC
United Micro receives Investment Bank Analyst Rating Update,2024-02-19,,UMC
United Micro receives Investment Bank Analyst Rating Update,2024-01-31,,UMC
"Earnings call: UMC reports Q4 results, projects cautious 2024 outlook",2024-01-31,,UMC
"United Microelectronics earnings beat by $0.02, revenue topped estimates",2024-01-31,,UMC
United Micro receives Investment Bank Analyst Rating Update,2024-01-28,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2024-01-25,,UMC
Intel and UMC Enter New Foundry Collaboration,2024-01-25,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2024-01-16,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-12-26,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-12-26,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-12-15,,UMC
Samsung set to launch SAINT chip tech to challenge TSMC,2023-11-13,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-10-26,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-10-26,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-10-26,,UMC
"United Microelectronics earnings beat by $0.04, revenue topped estimates",2023-10-25,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-10-24,,UMC
United Microelectronics Reports Sales for September 2023,2023-10-06,,UMC
United Microelectronics Reports August 2023 Sales of NT$ 18.95B,2023-09-06,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-08-16,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-08-16,,UMC
United Microelectronics Reports 2023 July Sales,2023-08-04,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-07-27,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-07-27,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-07-27,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-07-27,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-07-27,,UMC
"United Microelectronics earnings beat by $0.04, revenue topped estimates",2023-07-26,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-07-25,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-07-06,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-06-07,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-06-07,,UMC
United Microelectronics Reports 2023 May Sales,2023-06-06,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-05-24,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-05-24,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-05-22,,UMC
United Microelectronics Reports April 2023 Sales,2023-05-05,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-04-27,,UMC
"United Microelectronics earnings beat by $0.05, revenue fell short of estimates",2023-04-26,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-04-19,,UMC
United Micro receives Investment Bank Analyst Rating Update,2023-04-13,,UMC
United Microelectronics Reports March 2023 Sales,2023-04-10,,UMC
United Microelectronics Corp PT receives Investment Bank Analyst Rating Update,2023-03-22,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-03-15,,UMC
United Microelectronics Corp receives Investment Bank Analyst Rating Update,2023-02-28,,UMC
