headline,date,comments,type
Wolfspeed To Participate in Upcoming Investor Conferences,2024-05-15,STOP,WOLF
Deutsche Bank cuts Wolfspeed stock PT following 'disappointing guide',2024-05-07,,WOLF
"Wolfspeed stock downgraded amid EV slowdown, price target cut to $25",2024-05-02,AI galore and your grandmother has an order in for a Nvidia chip and Wolfspeed can't make a buck in a perfect market scenario.   WTF  Did I say that right?  WTF,WOLF
Wolfspeed stock target cut on I&E market headwinds,2024-05-02,,WOLF
Wolfspeed stock slips as guidance disappoints,2024-05-02,They don't really care about fighting inflation but they do like to pretend to care.,WOLF
Wolfspeed stock downgraded by William Blair amid Mohawk Valley ramp issues,2024-05-02,,WOLF
"Wolfspeed stock PT lowered by Citi on margin miss, weak Durham sales",2024-05-02,Money losing stocks rallying.....,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-07,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-03,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,This is what true fascism looks like. Trying to bypass the checks and balances of the government and imposing your will through false &quot;emergencies&quot;. | Democrats are bent on destroying the middle class,WOLF
"Wolfspeed stock PT lowered by Citi on margin miss, weak Durham sales",2024-05-02,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,WOLF
"Wolfspeed stock target cut, retains Buy rating",2024-05-02,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-05-02,,WOLF
Earnings call: Wolfspeed reports robust growth in EV market,2024-05-02,,WOLF
Chipmaker Wolfspeed forecasts quarterly revenue below estimates as EV sales growth slows,2024-05-01,,WOLF
"Wolfspeed earnings beat by $0.01, revenue fell short of estimates",2024-05-01,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-04-23,,WOLF
Wolfspeed Comments on Letter from JANA Partners,2024-04-23,,WOLF
Deutsche Bank cuts Wolfspeed shares target on SiC industry demand concerns,2024-04-23,,WOLF
Cree Inc. receives Investment Bank Analyst Rating Update,2024-04-23,,WOLF
"Activist Jana, in letter, urges Wolfspeed to eye sale, other strategic alternatives",2024-04-22,,WOLF
